Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-07-16,136379.97,136169.64,137232.11,135542.89,273100000.0,0.32,75.21194069725414,132712.8660772029,128621.71781114208,4091.1482660608162,3523.6194496760827,567.5288163847335
2025-07-17,138665.5,136674.98,138943.47,136674.98,299280000.0,1.68,78.33910966245136,133628.65591147938,129365.70167698342,4262.954234495963,3671.4864066400587,591.467827855904
2025-07-18,138597.36,139600.23,140585.39,138343.73,256320000.0,-0.05,78.02307713700506,134393.07192509793,130049.52821942909,4343.543705668839,3805.897866445815,537.6458392230238
2025-07-21,138217.58,139142.17,139201.16,138149.56,221760000.0,-0.27,76.17848594179276,134981.45778277516,130654.56909206398,4326.888690711188,3910.09603129889,416.79265941229824
2025-07-22,139419.63,138197.81,139901.78,138197.81,245770000.0,0.87,77.95497591484296,135664.25350850206,131303.8328630222,4360.42064547987,4000.160954135086,360.25969134478373
2025-07-23,139254.36,139966.08,140202.19,139105.05,193420000.0,-0.12,77.10359442916527,136216.57758411713,131892.76079909463,4323.8167850225,4064.8921203125687,258.9246647099312
2025-07-24,138692.67,139501.61,139867.83,138614.09,272660000.0,-0.4,74.13999002475079,136597.51487886833,132396.45777693947,4201.057101928862,4092.1251166358275,108.93198529303436
2025-07-25,139207.3,138876.06,139436.77,138808.64,190960000.0,0.37,75.08490188386402,136999.02028211937,132900.96460827728,4098.0556738420855,4093.3112280770792,4.744445765006276
2025-07-28,139380.06,139759.59,140149.23,139195.84,213990000.0,0.12,75.40973374612494,137365.33408487024,133380.89760025672,3984.436484613514,4071.5362793843665,-87.09979477085244
2025-07-29,137964.81,139733.06,140331.02,137636.38,212750000.0,-1.02,67.63087833017704,137457.56114873636,133720.44666690438,3737.114481831988,4004.651919873891,-267.537438041903
2025-07-30,138412.25,138141.59,139018.88,137658.81,167690000.0,0.32,68.72916105117224,137604.43635662307,134067.9876545411,3536.4487020819797,3911.011276315509,-374.5625742335292
2025-07-31,139390.42,139379.14,140215.22,139083.73,291210000.0,0.71,71.04234831282386,137879.20307098876,134462.24190235286,3416.9611686358985,3812.201254779587,-395.2400861436886
2025-08-01,141034.98,139634.91,141160.94,138957.7,304550000.0,1.18,74.46266903327688,138364.70721391356,134949.11139106748,3415.5958228460804,3732.880168392886,-317.2843455468055
2025-08-04,142052.66,141962.94,142323.34,141440.48,349230000.0,0.72,76.32612462935039,138932.08456561915,135475.30017691432,3456.7843887048366,3677.6610124552762,-220.87662375043965
2025-08-05,143037.17,142235.7,143281.34,142235.7,262320000.0,0.69,77.99869915741826,139563.63617090852,136035.43868232807,3528.197488580452,3647.7683076803114,-119.57081909985936
2025-08-06,145088.5,143409.59,145187.17,143409.59,383510000.0,1.43,81.00932392849204,140413.61522153797,136706.03581697043,3707.579404567543,3659.730527057758,47.84887750978487
2025-08-07,145647.14,145793.06,146081.03,145250.19,326590000.0,0.39,81.7420497092424,141218.7728797629,137368.3398305282,3850.433049234707,3697.871031493148,152.56201774155898
2025-08-08,145382.8,145999.41,146813.44,144917.19,276740000.0,-0.18,80.16586870403569,141859.39243672244,137962.00354678536,3897.3888899370795,3737.7746031819343,159.61428675514526
2025-08-11,146929.84,145650.33,147005.19,145258.5,299280000.0,1.06,82.31511482163057,142639.4612926113,138626.28772850498,4013.1735641063133,3792.8543953668104,220.31916873950286
2025-08-12,147005.31,147467.44,147976.98,146894.63,331790000.0,0.05,82.41522248751103,143311.13032451726,139246.95604491202,4064.174279605242,3847.118372214497,217.05590739074523
2025-08-13,146529.31,147334.3,147892.25,146417.8,298880000.0,-0.32,79.36378316169126,143806.23488997616,139786.38967121483,4019.8452187613293,3881.663741523864,138.18147723746551
2025-08-15,146491.63,146713.84,147534.41,146269.59,187000000.0,-0.03,79.11407101900969,144219.3725992106,140283.07414001372,3936.2984591968707,3892.5906850584656,43.70777413840506
2025-08-18,148196.42,146679.73,148395.72,146403.66,229070000.0,1.16,81.89039949610326,144831.22604548588,140869.2479074201,3961.9781380657805,3906.468175659929,55.50996240585164
2025-08-19,149770.75,148464.55,150323.39,148293.94,340190000.0,1.06,84.00492486845164,145591.1528077188,141528.6184327964,4062.5343749224267,3937.681415512429,124.85295940999777
2025-08-20,150591.0,150106.16,151261.67,149931.69,275220000.0,0.55,84.98840591428086,146360.36006806977,142199.90595629293,4160.4541117768385,3982.2359547653114,178.21815701152718
2025-08-21,149235.27,150948.94,151249.63,148272.58,426270000.0,-0.9,76.6045131023648,146802.65390375134,142721.0440336046,4081.6098701467563,4002.1107378416004,79.49913230515585
